1;3
1;1
;1
;1
;1
;1
;1
;1
;1
2;3
2;3
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
3;3
3;3
1;2
1;1
1;1
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;1
;1
1;4
;1
;1
;1
;1
;1
;1
;2
;2
1;1
1;2
1;1
1;1
1;1
1;1
1;1
;
;
;1
1;2
1;2
1;1
1;1
1;1
1;1
1;1
1;1
;
;
;
;
;
;
;
1;1
1;1
1;1
1;1
1;1
;
1;1
1;1
1;1
1;1
1;1
;
;
;
;
;
;
;
;
1;6
;
;
;
;
;
;
;
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
;
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
;3
;3
;3
1;1
1;1
1;1
1;1
1;1
2;2
1;1
1;1
2;2
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;3
1;1
1;3
1;1
1;2
1;2
1;2
1;2
1;1
1;1
;
;
;
;3
;3
;
1;1
1;2
;1
;1
;1
;1
;1
1;4
1;1
1;2
1;2
1;2
1;4
1;1
1;1
1;1
1;1
1;2
1;2
1;2
1;1
1;1
1;1
1;1
1;1
1;2
1;2
;
;
;
;
;
;
;
;
;
1;2
1;2
;2
;2
;
1;1
1;1
1;2
1;2
;2
3;3
;
72;96
72;96
;
52;52
1;1
2;5
2;5
2;20
2;5
2;6
2;5
2;5
;5
;5
;20
;5
;6
;5
;5
;1
1;3
3;6
3;6
1;1
1;2
1;4
1;2
2;3
1;3
2;3
;2
2;2
1;1
;
;2
1;3
1;3
1;3
1;3
1;5
1;5
1;5
1;3
1;3
1;3
1;2
1;24
;
1;2
1;10
1;2
1;2
1;10
1;2
1;2
;
;1
;1
;1
1;1
1;1
1;1
1;
3;6
3;6
3;6
4;6
2;4
2;3
2;3
1;1
;1
;1
;1
;1
;1
1;3
1;3
1;2
2;4
2;4
2;4
1;
1;
1;
1;
1;
;1
;1
;1
;1
;1
;1
;1
1;1
;1
;3
;3
;3
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
2;2
;1
;1
;1
1;1
;
1;3
1;3
1;5
1;5
1;5
1;5
1;5
1;5
1;1
1;10
1;10
1;10
1;3
1;3
1;1
1;1
1;1
1;
1;
1;
1;
1;
1;
1;
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
1;3
;3
1;
1;
;
1;5
1;4
1;1
1;5
1;5
1;1
1;4
1;1
1;5
1;5
1;2
1;1
1;3
1;3
1;3
1;3
1;3
1;3
1;5
1;1
1;4
1;2
1;2
1;5
1;4
;1
;3
1;2
;1
;1
1;2
1;2
;
1;4
1;4
1;10
1;10
1;4
1;4
;1
1;2
1;2
1;2
1;2
1;3
1;3
1;3
1;3
1;3
1;2
1;1
1;2
1;1
1;1
1;4
1;4
1;2
;
1;1
3;4
2;3
2;3
1;2
1;2
1;2
1;2
1;2
1;1
1;1
1;1
2;6
2;6
1;3
1;2
1;2
1;2
1;2
1;2
1;2
1;2
1;3
1;4
1;1
1;2
1;4
1;2
1;4
1;4
1;8
2;3
2;3
1;1
1;1
1;1
1;1
;1
;1
2;2
2;2
2;2
2;2
2;2
;1
;1
;1
;1
;1
1;4
2;3
2;2
4;4
4;4
2;4
1;2
1;1
1;2
1;3
1;1
1;1
1;1
1;1
1;1
1;1
1;1
3;3
3;3
2;2
3;3
3;3
3;3
1;1
;1
;2
;2
;2
;2
;1
1;1
1;2
1;2
1;1
1;1
1;3
1;3
1;3
1;3
1;3
1;2
1;2
1;2
1;3
1;3
1;2
1;3
1;1
;1
1;1
1;1
;3
1;1
1;1
1;5
;1
;
;
;
;
1;1
1;1
1;12
1;3
1;6
1;12
1;4
1;4
2;3
1;3
1;5
1;5
1;5
1;5
1;5
;1
;1
;1
1;12
1;12
1;1
1;1
1;5
4;5
1;6
;
3;4
;
1;1
1;2
1;1
5;6
1;2
1;1
1;1
1;1
1;2
10;50
1;3
1;3
1;3
1;3
1;3
1;1
1;1
1;1
1;1
1;1
1;3
1;3
1;3
1;3
1;3
1;1
1;1
1;1
1;1
1;1
1;1
1;4
1;4
1;4
1;4
1;1
10;50
1;
1;
1;
1;
1;
1;
1;
1;
1;
1;2
1;2
1;2
1;2
1;2
1;2
1;2
1;2
1;2
;1
;16
;1
;6
;8
;5
1;2
1;2
1;2
1;2
3;3
3;3
3;3
3;3
2;2
2;2
2;2
4;4
