type produit;numero AMM;nom produit;type culture libelle;dose min par apport;dose min par apport unite;dose max par apport;dose max par apport unite;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;saison application min;saison application max;saison application min commentaire;saison application max commentaire; date decision;culture commentaire;
MFSC;1150022;ALTERNAZOTE;Autres;2.0;L/ha;2.0;L/ha;;;Autorisé;;;Tallage à début floraison (simultanément à la fertilisation azotée) ;Tallage à début floraison (simultanément à la fertilisation azotée) ;17/02/2016;Blé et céréales à pailles;
MFSC;1080007;SULCABAÏ;Grandes cultures;5000.0;kg/ha;5000.0;kg/ha;00;00;Autorisé;Au semis;Au semis;Apport avant mise en place des cultures;Apport avant mise en place des cultures;20/10/2015;Colza et crucifères Céréales : efficacité démontrée sur le blé dans les conditions d'emploi prescrites. Efficacité extrapolable aux céréales.;
MFSC;1140002;NUTRACTIF;Gazon de graminées;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;Autorisé sur gazon, golfs et terrains de sport;
MFSC;1140002;NUTRACTIF;Gazon de graminées;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Autorisé sur gazon, golfs et terrains de sport. Dose exprimée en gramme par m3 de support de culture.;
MFSC;1140002;NUTRACTIF;Cultures florales;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;;
MFSC;1140002;NUTRACTIF;Cultures florales;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Dose exprimée en gramme par m3 de support de culture;
MFSC;1140002;NUTRACTIF;Cultures maraîchères;;;30.0;kg/ha;;;Autorisé;;;;;23/09/2014;;
MFSC;1140002;NUTRACTIF;Cultures maraîchères;;;250.0;g/m3;;;Autorisé;;;;;23/09/2014;Dose exprimée en gramme par m3 de support de culture;
MFSC;1140002;NUTRACTIF;Autres;;;125.0;g/m3;;;Autorisé;;;;;23/09/2014;Pour les supports de culture destinés au semis et bouturage.;
MFSC;1140009;KORI FEUILLE;Arboriculture fruitière et vigne;;;2.0;kg/ha;;;Autorisé;;;6 feuilles étalées puis boutons floraux séparés;6 feuilles étalées puis boutons floraux séparés puis nouaison;;Vigne;
MFSC;1140010;OPALE;Grandes cultures;4.0;L/ha;4.0;L/ha;;;Autorisé;;;;;;Autorisé sur pomme de terre et lin. Applications/an.;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures légumières;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures ornementales;0.3;kg/m3;0.3;kg/m3;;;Autorisé;;;Périodes de multiplication et rempotage;;09/01/2013;Cultures hors-sol;
MFSC;1301002;OZOR;Cultures légumières;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Cultures légumières;3.0;g/Kg;3.0;g/Kg;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En plein terre;
MFSC;1301002;OZOR;Arboriculture fruitière et vigne;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Arbres et arbustes d'ornement;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;Enrobage de semences;
MFSC;1301002;OZOR;Cultures ornementales;3.5;kg/ha;4.5;kg/ha;;;Autorisé;;;Périodes de semis, plantation et aération;;09/01/2013;En pleine terre;
MFSC;1301002;OZOR;Cultures ornementales;3.0;g/kg semences;3.0;g/kg semences;;;Autorisé;Au semis;;;;09/01/2013;En enrobage de semences;
MFSC;1140012;PHYSIO PRO;Grandes cultures;8.0;kg/ha;8.0;kg/ha;;;Autorisé;;;En sortie d'hiver / printemps;;;Autorisé sur céréales et colza. La dose est à ajuster pour obtenir une concentration finale de 1,5 % dans l'engrais.  ;
MFSC;1140012;PHYSIO PRO;Grandes cultures;8.0;kg/ha;8.0;kg/ha;;;Autorisé;Printemps;Eté;;;;Autorisé sur maïs.La dose est à ajuster pour obtenir une concentration finale de 1,5 % dans l'engrais.   ;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;30.0;;30.0;;;;Autorisé;Au rempotage dans le substrat;;Multiplication;;;Autorisé sur plantes ligneuses à mycorhizes à arbuscules hors-sol.;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;250.0;;250.0;;;;Autorisé;Au semis;;1 application par an;;;Autorisé sur Plantes ligneuses à mycorhizes à arbuscules pleine terre.;
MFSC;1120008;SYMBIVIT;Arbres et arbustes d'ornement, conifères et feuillus de forêt;200.0;;200.0;;;;Autorisé;A la plantation;;1 application par an;;;Autorisé sur plantes ligneuses à mycorhizes à arbuscules trempage de racines.;
MFSC;1202007;AEGYS SYM ARGILE;Cultures maraîchères;1.0;g/plant;2.5;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202007;AEGYS SYM ARGILE;Cultures maraîchères;8.0;kg/ha;10.0;kg/ha;;;Autorisé;;;;;;Maraîchage plein champ ;
MFSC;1202007;AEGYS SYM ARGILE;Gazons de graminées, jardins d'amateurs;100.0;g/100 m²;100.0;g/100 m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202007;AEGYS SYM ARGILE;Pépinière;3.0;kg/m3;5.0;kg/m3;;;Autorisé;;;;;;;
MFSC;1202007;AEGYS SYM ARGILE;Arboriculture fruitière et vigne;13.3;g/plant;13.3;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202006;AEGYS SYM HYDRO;Cultures maraîchères;0.1;g/plant;0.1;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202006;AEGYS SYM HYDRO;Cultures maraîchères;0.05;g/plant;0.05;g/plant;;;Autorisé;;;;;;Maraîchage plein champ;
MFSC;1202006;AEGYS SYM HYDRO;Arboriculture fruitière et vigne;0.25;g/plant;0.25;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202006;AEGYS SYM HYDRO;Arboriculture fruitière et vigne;0.25;g/plant;0.25;g/plant;;;Autorisé;;;;;; Plantation arboriculture;
MFSC;1202006;AEGYS SYM HYDRO;Gazons de graminées, jardins d'amateurs;15.0;g/100 m²;15.0;g/100 m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Cultures maraîchères;1.5;g/plant;1.5;g/plant;;;Autorisé;;;;;;Maraîchage sous serre;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Cultures maraîchères;1.0;g/plant;1.0;g/plant;;;Autorisé;;;;;;Maraîchage plein champ;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Arboriculture fruitière et vigne;5.0;g/plant;5.0;g/plant;;;Autorisé;;;;;;Plantation viticulture;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Arboriculture fruitière et vigne;8.0;g/plant;8.0;g/plant;;;Autorisé;;;;;;Plantation arboriculture;
MFSC;1202008;AEGYS SYM MICRO-GRANULES;Gazons de graminées, jardins d'amateurs;2.0;g/m²;2.0;g/m²;;;Autorisé;;;;;;Gazons, espaces verts;
MFSC;1202009;CONDOR;Cultures maraîchères;1.0;kg/ha;2.0;kg/ha;;;Autorisé;;;;;;;
MFSC;1202009;CONDOR;Arboriculture fruitière et vigne;0.5;kg/ha;1.5;kg/ha;;;Autorisé;;;;;;;
MFSC;1202009;CONDOR;Arboriculture fruitière et vigne;1.0;g/plant;2.0;g/plant;;;Autorisé;;;;;;;
MFSC;9810015;AQUAMIX;Autres;100.0;mL/m3;200.0;mL/m3;;;Autorisé;Printemps;Printemps;Apparition de l'hydrophobicité;;;Cultures hors-sol non alimentaires                          ;
MFSC;9810015;AQUAMIX;Autres;0.5;mL/L;1.0;mL/L;;;Autorisé;Printemps;Printemps;Apparition de l'hydrophobicité;;;Cultures hors-sol non alimentaires                    ;
MFSC;1100005;PLATINA;Arboriculture fruitière et vigne;1.0;L/ha;1.5;L/ha;81;81;Autorisé;;;1er application a partir de la veraison.;;;Pulvérisation après dilution des cerises. Application/an;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;1.0;t/ha;1.0;t/ha;;;Autorisé;;;;;;Chaumes;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;2.0;t/ha;2.0;t/ha;;;Autorisé;;;;;;Chaumes;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;4.0;t/ha;4.0;t/ha;;;Autorisé;;;;;;Chaumes;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;1.0;t/ha;1.0;t/ha;;;Autorisé;;;;;;Préparation du sol;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;2.0;t/ha;2.0;t/ha;;;Autorisé;;;;;;Préparation du sol;
MFSC;1110007;CALCICOQUILLES SAMO;Autres;4.0;t/ha;4.0;t/ha;;;Autorisé;;;;;;Préparation du sol;
MFSC;1140006;CALCIMER T400 GR;Traitements généraux;500.0;kg/ha;1000.0;kg/ha;;;Autorisé;;;Préparation des sols (enfouissement)/interculture.;;19/08/2014;Toutes cultures sauf les cultures acidophiles. En entretien de pH.;
MFSC;1140006;CALCIMER T400 GR;Traitements généraux;500.0;kg/ha;10000.0;kg/ha;;;Autorisé;;;Préparation des sols (enfouissement)/interculture;;19/08/2014;Toutes cultures sauf les cultures acidophiles. En redressement de pH.;
MFSC;1110006;PROVAL CU PLANT BOOSTER;Cultures ornementales;0.5;L/ha;0.5;L/ha;;;Autorisé;Printemps;;1 apport au printemps.;;;;
MFSC;1110006;PROVAL CU PLANT BOOSTER;Arboriculture fruitière et vigne;0.5;L/ha;0.5;L/ha;;;Autorisé;;;;;;Vigne, au départ de la  végétation. Application/an.;
MFSC;1110006;PROVAL CU PLANT BOOSTER;Cultures légumières;0.5;L/ha;0.5;L/ha;;;Autorisé;Printemps;;;;;Légumes;
MFSC;1130013;RETEXIA-NK;Grandes cultures;5.0;t/ha;20.0;t/ha;;;Autorisé;;;Epandage au sol avec enfouissement du produit et/ou incorporation du produit dans le substrat.;;;Autorisé sur grandes cultures.;
MFSC;1130013;RETEXIA-NK;Arboriculture fruitière et vigne;5.0;t/ha;20.0;t/ha;;;Autorisé;;;Epandage au sol avec enfouissement du produit et/ou incorporation du produit dans le substrat.;;;Arboricultures, viticultures et petits fruits.;
MFSC;1130013;RETEXIA-NK;Arbres et arbustes d'ornement, conifères et feuillus de forêt;5.0;t/ha;20.0;t/ha;;;Autorisé;;;Epandage au sol avec enfouissement du produit et/ou incorporation du produit dans le substrat.;;;Syviculture et pépiniéres ornementales.;
MFSC;1130013;RETEXIA-NK;Cultures florales;5.0;t/ha;20.0;t/ha;;;Autorisé;;;Epandage au sol avec enfouissement du produit et/ou incorporation du produit dans le substrat.;;;;
MFSC;1110013;DPF;Grandes cultures;2.0;t/ha;3.0;t/ha;;;Autorisé;;;;;;Pomme de terre;
MFSC;1110013;DPF;Grandes cultures;1.5;t/ha;2.5;t/ha;;;Autorisé;;;;;;Betterave;
MFSC;1140003;EABVMO;Autres;6.0;kg/ha;8.0;kg/ha;;;Autorisé;;;;;;Prairies;
MFSC;1112012;SANOVIT;Gazons de graminées, jardins d'amateurs;2.0;t/ha;7.0;t/ha;;;Autorisé;Octobre;Mars;;;;;
MFSC;1112012;SANOVIT;Autres;2.5;kg/m3;5.0;kg/m3;;;Autorisé;A la plantation;;Entre octobre et mars;;;;
MFSC;1303002;THAUCAL;Autres;700.0;kg/ha;3000.0;kg/ha;;;Autorisé;;;Application au moment de la préparation du sol avec enfouissement en interculture.;;;Chaulage d'entretien sur sols peu argileux. Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ).- Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1303002;THAUCAL;Autres;900.0;kg/ha;3500.0;kg/ha;;;Autorisé;;;Application au moment de la préparation du sol avec enfouissement en interculture.;;;Chaulage d'entretien sur sols moyennement argileux.Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ).Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1303002;THAUCAL;Autres;1200.0;kg/ha;5000.0;kg/ha;;;Autorisé;;;Une application par an au moment de la préparation du sol avec enfouissement en interculture.;;;Chaulage d'entretien sur sols très argileux. Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ). Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1303002;THAUCAL;Autres;3000.0;kg/ha;7500.0;kg/ha;;;Autorisé;;;Une application par an sans dépasser la dose de 20 tonnes sur une période de 3 ans au moment de la préparation du sol avec enfouissement en interculture. ;;;Chaulage de redressement sur sols peu argileux. Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ).- Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1303002;THAUCAL;Autres;3500.0;kg/ha;15000.0;kg/ha;;;Autorisé;;;Une application par an sans dépasser la dose de 20 tonnes sur une période de 3 ans au moment de la préparation du sol avec enfouissement en interculture. ;;;Chaulage de redressement sur sols moyennement argileux. Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ). - Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1303002;THAUCAL;Autres;5000.0;kg/ha;20000.0;kg/ha;;;Autorisé;;;Une application par an sans dépasser la dose de 20 tonnes sur une période de 3 ans au moment de la préparation du sol avec enfouissement en interculture. ;;;Chaulage de redressement sur sols très argileux. Autorisé sur tous les types de sols (à l'exception de ceux destinés à recevoir des cultures maraîchères, gazons et prairies ). Ne pas mettre en place de culture maraîchère de gazons et prairies moins de douze mois après le chaulage sauf si le taux de clostridium perfringens et d'entérocoques est garanti respectivement  à moins de 10 g et 100 g de produit brut. ;
MFSC;1306002;FERTEVIE-WAKE;Légumes racine;5.0;kg/ha;100.0;kg/ha;;;Autorisé;;;;;;;
MFSC;1306002;FERTEVIE-WAKE;Gazons de graminées, jardins d'amateurs;10.0;kg/ha;20.0;kg/ha;;;Autorisé;;;;;;Gazon;
MFSC;1306002;FERTEVIE-WAKE;Grandes cultures;10.0;kg/ha;20.0;kg/ha;;;Autorisé;;;;;;Céréales à paille;
MFSC;1306002;FERTEVIE-WAKE;Traitement des semences;0.6;kg/qx sem;1.0;kg/qx sem;;;Autorisé;;;;;29/08/2013;Céréales et Gazon;
MFSC;1306002;FERTEVIE-WAKE;Cultures florales;0.1;g/plant;0.5;g/plant;;;Autorisé;;;;;;En alvéoles;
MFSC;1306002;FERTEVIE-WAKE;Cultures florales;0.5;g/plant;25.0;g/plant;;;Autorisé;;;;;;En pots;
MFSC;1306002;FERTEVIE-WAKE;Cultures florales;0.5;kg/m3;1.0;kg/m3;;;Autorisé;;;;;;En mélange au substrat;
MFSC;1130012;GEONORGP;Grandes cultures;4.0;t/ha;10.0;t/ha;;;Autorisé;;;Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat;;;;
MFSC;1130012;GEONORGP;Grandes cultures;;;;;;;Autorisé;;;;;;Support de culture;
MFSC;1130012;GEONORGP;Arboriculture fruitière et vigne;4.0;t/ha;10.0;t/ha;;;Autorisé;;;Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat;;;;
MFSC;1130012;GEONORGP;Arboriculture fruitière et vigne;;;;;;;Autorisé;;;;;;Support de culture;
MFSC;1130012;GEONORGP;Arboriculture fruitière et vigne;4.0;t/ha;10.0;t/ha;;;Autorisé;;;Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat ;;;Petits fruits;
MFSC;1130012;GEONORGP;Arboriculture fruitière et vigne;;;;;;;Autorisé;;;;;;Petits fruits (Support de culture);
MFSC;1130012;GEONORGP;Autres;4.0;t/ha;10.0;t/ha;;;Autorisé;;;Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat ;;;Sylviculture;
MFSC;1130012;GEONORGP;Autres;;;;;;;Autorisé;;;;;;Sylviculture (Support de culture);
MFSC;1130012;GEONORGP;Pépinière;4.0;t/ha;10.0;t/ha;;;Autorisé;;;Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat ;;;Ornementale;
MFSC;1130012;GEONORGP;Pépinière;;;;;;;Autorisé;;;;;;Ornementale (Support de culture);
MFSC;1130012;GEONORGP;Cultures florales;4.0;t/ha;10.0;t/ha;;;Autorisé;;; Toute l'année, Epandage avant le travail du sol et/ou implantation de la culture, avec enfouissement et/ou incorporation dans le substrat ;;;;
MFSC;1130012;GEONORGP;Cultures florales;;;;;;;Autorisé;;;;;;Support de culture;
MFSC;1140001;GREENACTIV;Gazon de graminées;;;250.0;g/m3;;;Autorisé;;;;;;Gazon, golfs et terrains de sport (Substrat);
MFSC;1140001;GREENACTIV;Gazon de graminées;;;30.0;kg/ha;;;Autorisé;;;;;;Gazon, golfs et terrains de sport ;
MFSC;1140001;GREENACTIV;Cultures florales;;;250.0;g/m3;;;Autorisé;;;;;;Cultures florales;
MFSC;1140001;GREENACTIV;Cultures florales;;;30.0;kg/ha;;;Autorisé;;;;;;Cultures florales;
MFSC;1140001;GREENACTIV;Cultures maraîchères;;;250.0;g/m3;;;Autorisé;;;;;;Cultures maraîchères;
MFSC;1140001;GREENACTIV;Cultures maraîchères;;;30.0;kg/ha;;;Autorisé;;;;;;Cultures maraîchères;
MFSC;1140001;GREENACTIV;Autres;;;125.0;g/m3;;;Autorisé;;;;;;Supports de culture destinés au semis et bouturage. ;
MFSC;1140004;HICURE;Cultures florales;;;2.5;L/ha;;;Autorisé;;;Au rempotage ou à la plantation et en période de croissance;;;Cultures Florales et ornementales à l'exclusion des plantes à bulbes;
MFSC;1308001;LYCC;Légumes racine;5.0;kg/ha;;;;;Autorisé;;;;;;;
MFSC;1308001;LYCC;Gazons de graminées, jardins d'amateurs;10.0;kg/ha;20.0;kg/ha;;;Autorisé;;;;;;Gazon;
MFSC;1308001;LYCC;Grandes cultures;10.0;kg/ha;20.0;kg/ha;;;Autorisé;;;;;;Céréales à paille;
MFSC;1308001;LYCC;Traitement des semences;0.6;kg/qx sem;1.0;kg/qx sem;;;Autorisé;;;;;30/08/2013;Céréales et Gazon;
MFSC;1308001;LYCC;Cultures florales;0.1;g/plant;0.5;g/plant;;;Autorisé;;;;;;en minimottes;
MFSC;1308001;LYCC;Cultures florales;0.5;g/plant;25.0;g/plant;;;Autorisé;;;;;30/08/2013;en pot;
MFSC;1308001;LYCC;Cultures florales;0.5;kg/m3;1.0;kg/m3;;;Autorisé;;;;;;en mélange de substrat;
MFSC;1301001;MYCOR;Arboriculture fruitière et vigne;2.0;kg/m3;3.0;kg/m3;;;Autorisé;;; Aux périodes de multiplication et rempotage;;;Hors-sol;
MFSC;1301001;MYCOR;Cultures légumières;2.0;kg/m3;3.0;kg/m3;;;Autorisé;;;Aux périodes de multiplication et rempotage ;;;Hors-sol;
MFSC;1301001;MYCOR;Arbres et arbustes d'ornement;2.0;kg/m3;3.0;kg/m3;;;Autorisé;;;Aux périodes de multiplication et rempotage ;;;Hors-sol;
MFSC;1301001;MYCOR;Cultures ornementales;2.0;kg/m3;3.0;kg/m3;;;Autorisé;;;Aux périodes de multiplication et rempotage ;;;Hors-sol;
MFSC;1301001;MYCOR;Arboriculture fruitière et vigne;;;21.0;kg/ha;;;Autorisé;;;Au semis, plantation et aération;;;Pleine terre;
MFSC;1301001;MYCOR;Cultures légumières;;;21.0;kg/ha;;;Autorisé;;;Au semis, plantation et aération ;;;Pleine terre;
MFSC;1301001;MYCOR;Arbres et arbustes d'ornement;;;21.0;kg/ha;;;Autorisé;;;Au semis, plantation et aération;;;Pleine terre;
MFSC;1301001;MYCOR;Cultures ornementales;;;21.0;kg/ha;;;Autorisé;;;Au semis, plantation et aération;;;Pleine terre;
MFSC;1120002;MELANGE  NP ABC;Grandes cultures;100.0;kg/ha;200.0;kg/ha;;;Autorisé;;;A enfouir juste avant le semis;;;Maïs ;
MFSC;1120002;MELANGE  NP ABC;Grandes cultures;100.0;kg/ha;200.0;kg/ha;;;Autorisé;;;A enfouir juste avant le semis ;;;Tournesol;
MFSC;1120002;MELANGE  NP ABC;Grandes cultures;100.0;kg/ha;200.0;kg/ha;;;Autorisé;;;A enfouir juste avant le semis;;;Colza;
MFSC;1120002;MELANGE  NP ABC;Arboriculture fruitière et vigne;200.0;kg/ha;400.0;kg/ha;;;Autorisé;Printemps;;;;;Cultures fruitières;
MFSC;1130014;FERTIXIA NS;Grandes cultures;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;;
MFSC;1130014;FERTIXIA NS;Grandes cultures;;;500.0;L/m3;;;Autorisé;;;;;;Support de culture;
MFSC;1130014;FERTIXIA NS;Arboriculture fruitière et vigne;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;;
MFSC;1130014;FERTIXIA NS;Arboriculture fruitière et vigne;;;500.0;L/m3;;;Autorisé;;;;;;Support de culture;
MFSC;1130014;FERTIXIA NS;Arboriculture fruitière et vigne;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;Petits fruits;
MFSC;1130014;FERTIXIA NS;Arboriculture fruitière et vigne;;;500.0;L/m3;;;Autorisé;;;;;;Petits fruits (Support de culture);
MFSC;1130014;FERTIXIA NS;Gazons de graminées, jardins d'amateurs;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;Gazons/prairies;
MFSC;1130014;FERTIXIA NS;Gazons de graminées, jardins d'amateurs;;;500.0;L/m3;;;Autorisé;;;;;;Gazons/prairies (Support de culture);
MFSC;1130014;FERTIXIA NS;Arbres et arbustes d'ornement, conifères et feuillus de forêt;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;Sylviculture;
MFSC;1130014;FERTIXIA NS;Arbres et arbustes d'ornement, conifères et feuillus de forêt;;;500.0;L/m3;;;Autorisé;;;;;;Sylviculture (Support de culture);
MFSC;1130014;FERTIXIA NS;Horticulture;1000.0;L/ha;2000.0;L/ha;;;Autorisé;;;;;;Pépinières ornementales et Cultures florales;
MFSC;1130014;FERTIXIA NS;Horticulture;;;500.0;L/m3;;;Autorisé;;;;;;Pépinières ornementales et Cultures florales (Support de culture);
MFSC;1140011;N-PROCESS;Grandes cultures;;;8.0;kg/ha;;;Autorisé;;;En sortie d'hiver/printemps ;;;Céréales;
MFSC;1140011;N-PROCESS;Grandes cultures;;;8.0;kg/ha;;;Autorisé;;;En sortie d'hiver/printemps ;;;Colza;
MFSC;1140011;N-PROCESS;Grandes cultures;;;8.0;kg/ha;;;Autorisé;;;Au printemps/été;;;Maïs;
MFSC;1170247;NITROGEN GR;Grandes cultures;10.4;kg/ha;10.4;kg/ha;;;Autorisé;;;semis;semis;12/07/2017;Nombre maximum de germes par hectare : 4E11 * soit une dose maximale correspondante d'inoculum bactérien de 0,4 kg/ha et une dose maximale correspondante de support granulé (sépiolite) de 10 kg/ha ;
MFSC;1170248;NITROGEN;Grandes cultures;0.4;kg/ha;0.4;kg/ha;;;Autorisé;;;Semis;Semis;12/07/2017;;
MFSC;6120001;STOCKOSORB 660;Pépinière;3.0;g/plant;80.0;g/plant;;;Autorisé;;;;;23/08/2016;Uniquement autorisé en cultures hors sol (en pots, containers, bacs…)  Mode d'application :  - Au semis : juste avant ou pendant le semis  - Pour les nouvelles plantations : juste avant ou pendant le repiquage  - Sur racines nues : pralinage juste après extraction des racines du support de culture  Dose apport : 3-80 g/jeunes plants;
MFSC;6120001;STOCKOSORB 660;Cultures florales;20.0;kg/ha;60.0;kg/ha;;;Autorisé;;;indifférent;indifférent;23/08/2016;Uniquement autorisé en cultures hors sol (en pots, containers, bacs…) à raison d'un apport maximum par opération (plantation, rempotage, repiquage).;
MFSC;6120001;STOCKOSORB 660;Cultures ornementales;4.0;kg/m3;4.0;kg/m3;;;Autorisé;;; à raison d'un apport au maximum par opération de plantation, semis ou repiquage.;;;*Autorisé sur cultures ornementales par incorporation au support de culture ou au sol dans l'environnement immédiat du système racinaire de la plante.;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;275.0;kg/ha;275.0;kg/ha;;;Autorisé;;;Respecter les bonnes pratiques de fertilisation   ;Respecter les bonnes pratiques de fertilisation   ;19/10/2016;Blé Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Grandes cultures;500.0;kg/ha;500.0;kg/ha;;;Autorisé;Mai;Mai;Stade levée;Stade levée;19/10/2016;Maïs ensilage;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;250.0;kg/ha;250.0;kg/ha;;;Autorisé;Avril;Mai;stade montaison;stade montaison;19/10/2016;Prairie Mixte;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;350.0;kg/ha;350.0;kg/ha;;;Autorisé;Avril;Juin;stade montaison;stade montaison;19/10/2016;Prairie fauchée Fractionnement possible de la dose annuelle en 2 apports;
MFSC;1160067;NUTRISTAR 22-5 SELEN;Autres;300.0;kg/ha;300.0;kg/ha;;;Autorisé;Avril;Avril;stade montaison;stade montaison;19/10/2016;Prairie paturée;
MFSC;6070002;OXYOM;Autres;5.0;t/ha;5.0;t/ha;;;Retrait;;;;;10/03/2016;Entretien du pH au sol. 1 apport tous les 3 ans.;
MFSC;6070002;OXYOM;Autres;10.0;t/ha;10.0;t/ha;;;Retrait;;;;;10/03/2016;Redressement du pH au sol. 1 apport tous les 3 ans.;
MFSC;1150019;PREMIER TECH-GHA180;Cultures ornementales;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Fleurs et plantes ornementales. Au semis ou à la transplantation ;
MFSC;1150019;PREMIER TECH-GHA180;Cultures légumières;6.0;L/ha;12.0;L/ha;;;Autorisé;A la plantation;A la plantation;;;10/03/2016;Légumes à fruit : Tomate aubergine, cerise de terre et poivrons. Légume-feuille : Laitue, roquette, épinard, cresson, etc.  Cucurbitacées : Concombre, cantaloup, melon, courge, melon d'eau et citrouille Les choux : Brocoli, chou de Bruxelles, chou, chou-fleur, etc. Légumes bulbes : incluant Oignon, poireaux et échalotes. Au semis ou à la transplantation ;
