type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;1200117;MELAGRAN;Matière sèche (Min: 29.0 %, Max: 29.0 %)  | Matière organique (Min: 23.0 %, Max: 23.0 %)  | Azote (N) total (Min: 3.2 %, Max: 3.2 %)  | Anhydride phosphorique (Min: 1.5 %, Max: 1.5 %)  | Oxyde de potassium (K2O) total (Min: 1.85 %, Max: 1.85 %)  | Soufre total (Min: 0.6 %, Max: 0.6 %)  | Sodium (Min: 0.6 %, Max: 0.6 %)  | Oxyde de magnésium (MgO) total (Min: 0.18 %, Max: 0.18 %)  | pH (Min: 6.5 , Max: 6.5 ) ;;Matière fertilisante;
MFSC;1160004;APROSOIL;;Capacité d'absorption par gramme (solution de Ca(NO3)2 à 2 g/L)  (Min: 40.0 mL, Max: 40.0 mL)  | Granulométrie (passant entre les tamis de 0,315 et 1 mm) (Min: 94.0 %, Max: 94.0 %)  | Capacité d'absorption par gramme (eau distillée) (Min: 300.0 mL, Max: 300.0 mL)  | Matière sèche (Min: 92.0 %, Max: 92.0 %) ;Rétenteur d'eau;
MFSC;1200559;PROTAMINAL PLUS;Matière sèche (MS) (Min: 50.0 %, Max: 50.0 %)  | Matière organique (MO) (Min: 42.0 %, Max: 42.0 %)  | Acides aminés d'origine végétale (Min: 14.0 %, Max: 14.0 %)  | Azote (N) total (Min: 6.2 %, Max: 6.2 %)  | Azote (N) organique (Min: 3.3 %, Max: 3.3 %)  | Azote ammoniacal (Min: 2.9 %, Max: 2.9 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 1.8 %, Max: 1.8 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 1.3 %, Max: 1.3 %)  | pH (Min: 6.5 , Max: 6.5 ) ;;Matière fertilisante;
MFSC;1190901;GENEA 4;Manganèse (Mn) (Min: 1.0 %, Max: 1.0 %)  | Zinc (Zn) (Min: 1.0 %, Max: 1.0 %)  | pH (Min: 11.5 , Max: 11.5 )  | Extrait d'algues Ascophyllum nodosum (Min: 30.0 %, Max: 30.0 %) ;Dioxyde de silicium (SiO2) (Min:  , Max:  )  | Mannitol (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200560;KAORIS 1;Azote (N) total (Min: 3.0 %, Max: 3.0 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 3.0 %, Max: 3.0 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 9.0 %, Max: 9.0 %)  | Bore (B) soluble dans l'eau (Min: 0.01 %, Max: 0.01 %)  | Cuivre (Cu) soluble dans l'eau chélaté par EDTA (Min: 0.0020 %, Max: 0.0020 %)  | Molybdène (Mo) soluble dans l'eau (Min: 0.0010 %, Max: 0.0010 %)  | Extrait d'algues (Min: 30.0 %, Max: 30.0 %)  | pH (Min: 12.0 , Max: 12.0 ) ;Dioxyde de silicium (SiO2) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200544;VITALIANZ R LUPIN;Bradyrhizobium lupini souche LL13 (Min: 1.109 UFC/g, Max: 1.109 UFC/g) ;;Préparation bactérienne;
MFSC;1200543;TERRES DE GAÏA;Jus de plantes (obtenu à partir de basilique, feuilles de mûriers, camomille romaine, feuilles de livèche, feuilles de bourse-à-pasteur, feuilles de plantain, fleurs de calendule, feuilles de framboisier, feuiilles de romarin, sauge, herbe d'épilobe, (Min: 0.025 %, Max: 0.025 %)  | pH (Min: 3.5 %, Max: 3.5 %) ;;Matière fertilisante;
MFSC;1200557;STIMULROOTS;Matière sèche (MS) (Min: 45.0 %, Max: 45.0 %)  | Matière organique (MO) (Min: 35.0 %, Max: 35.0 %)  | Acides aminés d'origine végétale (Min: 9.0 %, Max: 9.0 %)  | Azote (N) total (Min: 4.0 %, Max: 4.0 %)  | Azote (N) organique (Min: 2.1 %, Max: 2.1 %)  | Azote ammoniacal (Min: 1.9 %, Max: 1.9 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 4.0 %, Max: 4.0 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 3.0 %, Max: 3.0 %)  | Bore (B) (Min: 0.1 %, Max: 0.1 %)  | Cuivre (Cu) chélaté EDTA (Min: 0.02 %, Max: 0.02 %)  | Fer (Fe) chélaté DTPA (Min: 0.4 %, Max: 0.4 %)  | Manganèse (Mn) chélaté EDTA (Min: 0.1 %, Max: 0.1 %)  | Molybdène (Mo) (Min: 0.1 %, Max: 0.1 %)  | Zinc (Zn) chélaté EDTA (Min: 0.08 %, Max: 0.08 %)  | pH (Min: 6.0 , Max: 6.0 ) ;;Matière fertilisante;
MFSC;1170380;AGTIV GRANDES CULTURES POUDRE;Rhizophagus irregularis (Glomus intraradices), souche Pont rouge DAOM 181602  (Min: 3200.0 spores/g, Max: 3200.0 spores/g) ;;Préparation fongique;
MFSC;1150011;ENDOCELL;;;Matière fertilisante;
